09-23-2026 01:59:34 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.406C soc2@44.406C soc0@45.218C gpu@45.125C tj@45.406C soc1@45C VDD_IN 4489mW/4507mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:35 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@729,0%@729,3%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.156C soc2@44.406C soc0@45.531C gpu@45.187C tj@45.531C soc1@44.937C VDD_IN 4489mW/4506mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:35 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.187C soc2@44.375C soc0@45.343C gpu@45.312C tj@45.343C soc1@44.937C VDD_IN 4489mW/4506mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:36 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.25C soc2@44.468C soc0@45.281C gpu@45.187C tj@45.375C soc1@45.062C VDD_IN 4489mW/4505mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:36 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.187C soc2@44.406C soc0@45.375C gpu@45.031C tj@45.375C soc1@44.906C VDD_IN 4489mW/4505mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:37 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,3%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.406C soc0@45.312C gpu@45.375C tj@45.375C soc1@45C VDD_IN 4482mW/4504mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:38 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.5C soc2@44.468C soc0@45.375C gpu@45.125C tj@45.5C soc1@45.125C VDD_IN 4523mW/4505mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:38 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.406C soc0@45.375C gpu@45.062C tj@45.375C soc1@44.937C VDD_IN 4530mW/4505mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:39 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.093C soc2@44.406C soc0@45.218C gpu@44.968C tj@45.218C soc1@44.968C VDD_IN 4489mW/4505mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:39 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.406C soc2@44.531C soc0@45.281C gpu@45.031C tj@45.406C soc1@45.031C VDD_IN 4489mW/4504mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:40 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.343C soc0@45.343C gpu@45.031C tj@45.25C soc1@44.937C VDD_IN 4489mW/4504mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:40 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.187C soc2@44.406C soc0@45.343C gpu@45.031C tj@45.343C soc1@45C VDD_IN 4489mW/4504mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:41 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.25C soc2@44.468C soc0@45.25C gpu@45.375C tj@45.375C soc1@45C VDD_IN 4489mW/4503mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:41 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.375C soc0@45.5C gpu@45.187C tj@45.5C soc1@45C VDD_IN 4489mW/4503mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:42 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.406C soc2@44.406C soc0@45.281C gpu@45.218C tj@45.406C soc1@45C VDD_IN 4489mW/4503mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:42 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.093C soc2@44.375C soc0@45.406C gpu@45.312C tj@45.406C soc1@44.937C VDD_IN 4489mW/4503mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:43 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.218C soc2@44.531C soc0@45.281C gpu@45C tj@45.281C soc1@45C VDD_IN 4530mW/4503mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:43 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.25C soc2@44.343C soc0@45.25C gpu@45.25C tj@45.25C soc1@45.156C VDD_IN 4489mW/4503mW VDD_CPU_GPU_CV 484mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:44 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.468C soc0@45.437C gpu@45.093C tj@45.437C soc1@44.937C VDD_IN 4489mW/4503mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:44 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.218C soc2@44.468C soc0@45.281C gpu@44.937C tj@45.375C soc1@45.031C VDD_IN 4489mW/4502mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:45 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.093C soc2@44.406C soc0@45.25C gpu@45.093C tj@45.25C soc1@45.156C VDD_IN 4489mW/4502mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:45 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,3%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.375C soc0@45.468C gpu@45.406C tj@45.468C soc1@44.937C VDD_IN 4489mW/4502mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
