09-23-2026 02:00:14 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.375C soc2@46.781C soc0@47.156C gpu@48.937C tj@48.937C soc1@46.406C VDD_IN 10350mW/9568mW VDD_CPU_GPU_CV 6150mW/5385mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:15 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.468C soc2@46.843C soc0@47.218C gpu@49.281C tj@49.281C soc1@46.718C VDD_IN 10350mW/9591mW VDD_CPU_GPU_CV 6150mW/5407mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:15 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.843C soc0@47.312C gpu@49C tj@49C soc1@46.5C VDD_IN 10350mW/9613mW VDD_CPU_GPU_CV 6150mW/5428mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:16 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.625C soc2@46.906C soc0@47.437C gpu@49.312C tj@49.312C soc1@46.5C VDD_IN 10429mW/9636mW VDD_CPU_GPU_CV 6150mW/5449mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:16 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [3%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@47C soc0@47.375C gpu@49.187C tj@49.187C soc1@46.531C VDD_IN 10389mW/9656mW VDD_CPU_GPU_CV 6150mW/5467mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:17 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@47.031C soc0@47.343C gpu@49.343C tj@49.343C soc1@46.718C VDD_IN 10389mW/9675mW VDD_CPU_GPU_CV 6150mW/5485mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:18 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@47.093C soc0@47.5C gpu@49.281C tj@49.281C soc1@46.781C VDD_IN 10389mW/9693mW VDD_CPU_GPU_CV 6150mW/5502mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:18 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@47.062C soc0@47.625C gpu@49.25C tj@49.25C soc1@46.812C VDD_IN 10350mW/9710mW VDD_CPU_GPU_CV 6150mW/5519mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:19 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@47.125C soc0@47.625C gpu@49.375C tj@49.375C soc1@46.812C VDD_IN 10350mW/9725mW VDD_CPU_GPU_CV 6150mW/5534mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:19 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@47.25C soc0@47.718C gpu@49.312C tj@49.312C soc1@46.843C VDD_IN 10350mW/9740mW VDD_CPU_GPU_CV 6150mW/5549mW VDD_SOC 1353mW/1355mW
