09-23-2026 02:14:21 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C soc2@50.937C soc0@52.062C gpu@51.437C tj@52.062C soc1@51.656C VDD_IN 4523mW/4566mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1363mW
09-23-2026 02:14:21 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C soc2@50.937C soc0@51.812C gpu@51.218C tj@51.812C soc1@51.656C VDD_IN 4523mW/4565mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1363mW
09-23-2026 02:14:22 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,4%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C soc2@50.968C soc0@51.812C gpu@51.093C tj@51.812C soc1@51.593C VDD_IN 4563mW/4565mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1363mW
09-23-2026 02:14:22 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C soc2@50.875C soc0@51.906C gpu@51.25C tj@51.906C soc1@51.656C VDD_IN 4563mW/4565mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1364mW
09-23-2026 02:14:23 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,3%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.312C soc2@50.906C soc0@51.75C gpu@50.937C tj@51.75C soc1@51.468C VDD_IN 4563mW/4565mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1364mW
09-23-2026 02:14:23 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.656C soc2@50.812C soc0@51.687C gpu@50.937C tj@51.687C soc1@51.531C VDD_IN 4523mW/4564mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1364mW
09-23-2026 02:14:24 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@50.75C soc0@51.781C gpu@51C tj@51.781C soc1@51.375C VDD_IN 4523mW/4563mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1364mW
09-23-2026 02:14:24 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@50.718C soc0@51.531C gpu@50.875C tj@51.531C soc1@51.25C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1365mW
09-23-2026 02:14:25 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,5%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.312C soc2@50.781C soc0@51.468C gpu@51.062C tj@51.468C soc1@51.343C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1365mW
09-23-2026 02:14:25 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.406C soc2@50.625C soc0@51.593C gpu@50.875C tj@51.593C soc1@51.343C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1365mW
