09-23-2026 02:17:48 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,2%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 46%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.343C soc2@55.937C soc0@55.812C gpu@56.687C tj@56.687C soc1@55.375C VDD_IN 15084mW/9344mW VDD_CPU_GPU_CV 5156mW/2599mW VDD_SOC 4422mW/2632mW
09-23-2026 02:17:49 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,6%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 46%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.406C soc2@55.875C soc0@55.812C gpu@56.687C tj@56.687C soc1@55.437C VDD_IN 15069mW/9487mW VDD_CPU_GPU_CV 5077mW/2661mW VDD_SOC 4383mW/2676mW
09-23-2026 02:17:49 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@729,5%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 46%@3199 GR3D_FREQ 95%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.312C soc2@55.937C soc0@56.031C gpu@57C tj@57C soc1@55.531C VDD_IN 15148mW/9625mW VDD_CPU_GPU_CV 5116mW/2721mW VDD_SOC 4422mW/2718mW
09-23-2026 02:17:50 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,5%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 46%@3199 GR3D_FREQ 96%@[911] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.406C soc2@55.937C soc0@56.093C gpu@56.75C tj@56.75C soc1@55.437C VDD_IN 15148mW/9757mW VDD_CPU_GPU_CV 5116mW/2778mW VDD_SOC 4422mW/2759mW
09-23-2026 02:17:50 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,1%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 46%@3199 GR3D_FREQ 95%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.468C soc2@56C soc0@55.937C gpu@56.781C tj@56.781C soc1@55.406C VDD_IN 15242mW/9884mW VDD_CPU_GPU_CV 5156mW/2833mW VDD_SOC 4415mW/2797mW
09-23-2026 02:17:51 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [5%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 46%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.531C soc2@56.062C soc0@56.031C gpu@56.937C tj@56.937C soc1@55.531C VDD_IN 15242mW/10006mW VDD_CPU_GPU_CV 5195mW/2887mW VDD_SOC 4462mW/2835mW
09-23-2026 02:17:51 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@729,6%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 46%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.625C soc2@56.125C soc0@56.031C gpu@57C tj@57C soc1@55.656C VDD_IN 15148mW/10120mW VDD_CPU_GPU_CV 5116mW/2937mW VDD_SOC 4422mW/2870mW
09-23-2026 02:17:52 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,3%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 46%@3199 GR3D_FREQ 97%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.5C soc2@56.093C soc0@56.125C gpu@57.093C tj@57.093C soc1@55.468C VDD_IN 15123mW/10229mW VDD_CPU_GPU_CV 5116mW/2984mW VDD_SOC 4422mW/2904mW
09-23-2026 02:17:52 RAM 1946/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,4%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 47%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.562C soc2@56.062C soc0@56.156C gpu@57.031C tj@57.031C soc1@55.5C VDD_IN 15242mW/10336mW VDD_CPU_GPU_CV 5156mW/3030mW VDD_SOC 4462mW/2937mW
09-23-2026 02:17:53 RAM 1946/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,5%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 47%@3199 GR3D_FREQ 95%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.625C soc2@56.187C soc0@56.125C gpu@57C tj@57C soc1@55.562C VDD_IN 15281mW/10439mW VDD_CPU_GPU_CV 5195mW/3075mW VDD_SOC 4454mW/2969mW
