09-23-2026 02:14:58 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.593C soc2@51.156C soc0@51.5C gpu@53.031C tj@53.031C soc1@50.843C VDD_IN 10270mW/9605mW VDD_CPU_GPU_CV 6021mW/5349mW VDD_SOC 1393mW/1390mW
09-23-2026 02:14:59 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.781C soc2@51.218C soc0@51.5C gpu@52.968C tj@52.968C soc1@50.906C VDD_IN 10270mW/9624mW VDD_CPU_GPU_CV 6021mW/5368mW VDD_SOC 1393mW/1390mW
09-23-2026 02:14:59 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.75C soc2@51.156C soc0@51.593C gpu@52.968C tj@52.968C soc1@51.093C VDD_IN 10310mW/9642mW VDD_CPU_GPU_CV 6021mW/5385mW VDD_SOC 1393mW/1390mW
09-23-2026 02:15:00 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.656C soc2@51.156C soc0@51.562C gpu@53.156C tj@53.156C soc1@50.968C VDD_IN 10310mW/9660mW VDD_CPU_GPU_CV 6061mW/5403mW VDD_SOC 1393mW/1390mW
09-23-2026 02:15:00 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@991,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@51.187C soc0@51.531C gpu@52.937C tj@52.937C soc1@50.968C VDD_IN 10310mW/9677mW VDD_CPU_GPU_CV 6061mW/5420mW VDD_SOC 1393mW/1390mW
09-23-2026 02:15:01 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@980,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.906C soc2@51.281C soc0@51.625C gpu@52.937C tj@52.937C soc1@51.062C VDD_IN 10350mW/9694mW VDD_CPU_GPU_CV 6061mW/5436mW VDD_SOC 1393mW/1390mW
09-23-2026 02:15:01 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C soc2@51.281C soc0@51.718C gpu@53.343C tj@53.343C soc1@51.093C VDD_IN 10350mW/9710mW VDD_CPU_GPU_CV 6061mW/5451mW VDD_SOC 1393mW/1390mW
09-23-2026 02:15:02 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@51.375C soc0@51.812C gpu@53.156C tj@53.156C soc1@50.937C VDD_IN 10310mW/9724mW VDD_CPU_GPU_CV 6061mW/5466mW VDD_SOC 1393mW/1391mW
09-23-2026 02:15:02 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@51.343C soc0@51.937C gpu@53.375C tj@53.375C soc1@51.062C VDD_IN 10310mW/9737mW VDD_CPU_GPU_CV 6061mW/5480mW VDD_SOC 1393mW/1391mW
09-23-2026 02:15:03 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.031C soc2@51.375C soc0@51.75C gpu@53.125C tj@53.125C soc1@51.093C VDD_IN 10310mW/9751mW VDD_CPU_GPU_CV 6061mW/5493mW VDD_SOC 1393mW/1391mW
